Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  Sunland Elementary,844,859,,-15,,,,,,,,
  Sunny Brae Avenue Elementary,830,806,,24,,,,,,,,
  Sunrise Elementary,709,712,,-3,,,,,,,,
  Superior Street Elementary,920,919,,1,,,,,,,,
  Sylmar Elementary,776,800,,-24,,,,,,,,
  Sylmar Leadership Academy,831,B,,B,,,,,,,,
  Sylvan Park Elementary,718,723,,-5,,,,,,,,
  Synergy Charter Academy,907,935,,-28,,,,,,,,
  Taper Avenue Elementary,913,922,,-9,,,,,,,,
  Tarzana Elementary,795,791,,4,,,,,,,,
  Telfair Avenue Elementary,724,730,,-6,,,,,,,,
  Tenth Street Elementary,795,758,,37,,,,,,,,
  Teresa Hughes Elementary,746,763,,-17,,,,,,,,
  Third Street Elementary,946,947,,-1,,,,,,,,
  Thirty-Second Street USC Performing Arts,814,806,,8,,,,,,,,
  Toland Way Elementary,791,801,,-10,,,,,,,,
  Toluca Lake Elementary,838,840,,-2,,,,,,,,
  Tom Bradley Global Awareness Magnet,688,666,,22,,,,,,,,
  Topanga Learn-Charter Elementary,951,939,,12,,,,,,,,
  Topeka Charter School For Advanced Studi,916,899,,17,,,,,,,,
  Towne Avenue Elementary,794,849,,-55,,,,,,,,
  Trinity Street Elementary,760,744,,16,,,,,,,,
  Tulsa Street Elementary,847,857,,-10,,,,,,,,
  Tweedy Elementary,803,801,,2,,,,,,,,
  Twentieth Street Elementary,746,779,,-33,,,,,,,,
  Twenty-Eighth Street Elementary,712,735,,-23,,,,,,,,
  Twenty-Fourth Street Elementary,662,665,,-3,,,,,,,,
  Two Hundred Thirty-Second Place,881,869,,12,,,,,,,,
  Union Avenue Elementary,762,762,,0,,,,,,,,
  Utah Street Elementary,758,741,,17,,,,,,,,
  Valerio Street Elementary,755,774,,-19,,,,,,,,
  Valley Alternative Magnet,836,824,,12,,,,,,,,
  Valley Charter Elementary,900,872*,,28,,,,,,,,
  Valley Region Elementary #13,757,B,,B,,,,,,,,
  Valley View Elementary,823,834,,-11,,,,,,,,
  Van Deene Avenue Elementary,796,788,,8,,,,,,,,
  Van Gogh Charter,935,931,,4,,,,,,,,
  Van Ness Avenue Elementary,849,850,,-1,,,,,,,,
  Van Nuys Elementary,740,738,,2,,,,,,,,
  Vanalden Avenue Elementary,850,838,,12,,,,,,,,
  Vaughn Next Century Learning Center,803,809,,-6,,,,,,,,
  Vena Avenue Elementary,890,879,,11,,,,,,,,
  Vermont Avenue Elementary,791,807,,-16,,,,,,,,
  Vernon City Elementary,814,815,,-1,,,,,,,,
  Victoria Avenue Elementary,821,771,,50,,,,,,,,
  Victory Boulevard Elementary,770,790,,-20,,,,,,,,
  View Park Preparatory Accelerated Charte,816,834,,-18,,,,,,,,
  Vine Street Elementary,738,758,,-20,,,,,,,,
  Vinedale Elementary,771,752,,19,,,,,,,,
  Vintage Math/Science/Technology Magnet,915,930,,-15,,,,,,,,
  Virginia Road Elementary,742,734,,8,,,,,,,,
  Vista del Valle Dual Language Academy,779,777,,2,,,,,,,,
  Wadsworth Avenue Elementary,727,712,,15,,,,,,,,
  Walgrove Avenue Elementary,810,810,,0,,,,,,,,
  Walnut Park Elementary,775,805,,-30,,,,,,,,
  Warner Avenue Elementary,961,958,,3,,,,,,,,
  Washington Primary Center,,,,,,,,,,,,
  Watts Learning Center,840,870,,-30,,,,,,,,
  Weigand Avenue Elementary,662,689,,-27,,,,,,,,
  Welby Way Elementary Charter,961,964,,-3,,,,,,,,
  West Athens Elementary,720,717,,3,,,,,,,,
  West Hollywood Elementary,926,932,,-6,,,,,,,,
  West Vernon Avenue Elementary,748,731,,17,,,,,,,,
  Western Avenue Elementary,765,758,,7,,,,,,,,
  Westminster Avenue Elementary,841,B,,B,,,,,,,,
  Westport Heights Elementary,822,843,,-21,,,,,,,,
  Westside Global Awareness Magnet,787,764,,23,,,,,,,,
  Westside Innovative School House,895,838*,,57,,,,,,,,
  Westwood Elementary,946,940,,6,,,,,,,,
  White Point Elementary,895,873,,22,,,,,,,,
  Wilbur Charter For Enriched Academics,914,929,,-15,,,,,,,,
  William R. Anton Elementary,747,763,,-16,,,,,,,,
  Willow Elementary,766,B,,B,,,,,,,,
  Wilmington Park Elementary,815,817,,-2,,,,,,,,
  Wilshire Crest Elementary,776,812,,-36,,,,,,,,
  Wilshire Park Elementary,841,833,,8,,,,,,,,
  Wilton Place Elementary,820,820,,0,,,,,,,,
  Windsor Hills Math Science,796,781,,15,,,,,,,,
  Winnetka Avenue Elementary,819,805,,14,,,,,,,,
  Wisdom Elementary,737,746,,-9,,,,,,,,
  Wonderland Avenue Elementary,973,979,,-6,,,,,,,,
  Woodcrest Elementary,626,646,,-20,,,,,,,,
  Woodlake Elementary Community Charter,878,881,,-3,,,,,,,,
  Woodland Hills Elementary Charter For En,968,960,,8,,,,,,,,
  Woodlawn Avenue Elementary,770,774,,-4,,,,,,,,
  Xinaxcalmecac Academia Semillas del Pueb,617,668,,-51,,,,,,,,
  YES Academy,670,704,,-34,,,,,,,,
  Yorkdale Elementary,798,813,,-15,,,,,,,,
Middle Schools,,,,,,,,,,,,
  Alexander Fleming Middle,771,763,,8,,,,,,,,
  Alfred B. Nobel Charter Middle,901,910,,-9,,,,,,,,
  Alliance Christine O'Donovan Middle Acad,708,720,,-12,,,,,,,,
  Alliance College-Ready Middle Academy No,674,686,,-12,,,,,,,,
  Alliance College-Ready Middle Academy No,761,777,,-16,,,,,,,,
  Alliance College-Ready Middle Academy No,768,768,,0,,,,,,,,
  Alliance Jack H. Skirball Middle,752,752,,0,,,,,,,,
  Alliance Richard Merkin Middle,765,747,,18,,,,,,,,
  Andrew Carnegie Middle,729,737,,-8,,,,,,,,
  Animo Charter Middle No. 3,694,655,,39,,,,,,,,
  Animo Charter Middle No. 4,629,593,,36,,,,,,,,
  Animo Jefferson Charter Middle,729,717,,12,,,,,,,,
  Animo Westside Charter Middle,794,817*,,-23,,,,,,,,
  Aspire Centennial College Preparatory Ac,807,813,,-6,,,,,,,,
  Audubon Middle,696,729,,-33,,,,,,,,
  Barack Obama Global Preparation Academy,620,622,,-2,,,,,,,,
  Belvedere Middle,733,717,,16,,,,,,,,
  Berendo Middle,739,749,,-10,,,,,,,,
  Bert Corona Charter,734,691,,43,,,,,,,,
  Bret Harte Preparatory Middle,656,634,,22,,,,,,,,
  California Academy for Liberal Studies,851,858,,-7,,,,,,,,
  Charles Drew Middle,614,614,,0,,,,,,,,
  Charles Maclay Middle,715,698,,17,,,,,,,,
  Chester W. Nimitz Middle,738,731,,7,,,,,,,,
  Christopher Columbus Middle,698,741,,-43,,,,,,,,
  Community Charter Middle,868,867,,1,,,,,,,,
  Crown Preparatory Academy,776,801,,-25,,,,,,,,
  Daniel Webster Middle,711,726,,-15,,,,,,,,
  David Wark Griffith Middle,724,735,,-11,,,,,,,,
  Dr. Julian Nava Learning Academies-Schoo,690,669,,21,,,,,,,,
  Dr. Julian Nava Learning Academies-Schoo,703,672,,31,,,,,,,,
  Edwin Markham Middle,633,627,,6,,,,,,,,
  El Sereno Middle,733,725,,8,,,,,,,,
  Endeavor College Preparatory Charter,870,877,,-7,,,,,,,,
  Ernest Lawrence Middle,811,819,,-8,,,,,,,,
  Excel Charter Academy,699,776,,-77,,,,,,,,
  Florence Nightingale Middle,757,750,,7,,,,,,,,
  Foshay Learning Center,719,710,,9,,,,,,,,
  Francisco Sepulveda Middle,731,751,,-20,,,,,,,,
  Fred E. Lull Special Education Center,845,845,,0,,,,,,,,
  Frederick Douglass Academy Middle,676,675,,1,,,,,,,,
  Gaspar De Portola Middle,866,864,,2,,,,,,,,
  George Ellery Hale Charter Academy,857,860,,-3,,,,,,,,
  George K. Porter Middle,823,820,,3,,,,,,,,
  George Washington Carver Middle,624,637,,-13,,,,,,,,
  Glenn Hammond Curtiss Middle,707,704,,3,,,,,,,,
  Henry T. Gage Middle,696,688,,8,,,,,,,,
  Hollenbeck Middle,685,673,,12,,,,,,,,
  Horace Mann Junior High,574,597,,-23,,,,,,,,
  Hubert Howe Bancroft Middle,764,764,,0,,,,,,,,
  ICEF Vista Middle Academy,798,779,,19,,,,,,,,
"  Ivy Bound Academy of Math, Science, and",902,911,,-9,,,,,,,,
  James Jordan Middle,792,784,,8,,,,,,,,
  James Madison Middle,738,743,,-5,,,,,,,,
  John A. Sutter Middle,764,735,,29,,,,,,,,
  John Adams Middle,725,742,,-17,,,,,,,,
  John Burroughs Middle,860,888,,-28,,,,,,,,
  John H. Liechty Middle,685,695,,-10,,,,,,,,
  John Muir Middle,687,644,,43,,,,,,,,
"  Johnnie Cochran, Jr., Middle",666,662,,4,,,,,,,,
  Joseph Le Conte Middle,765,735,,30,,,,,,,,
  KIPP Academy of Opportunity,790,823,,-33,,,,,,,,
  KIPP Los Angeles College Preparatory,918,925,,-7,,,,,,,,
  Lakeview Charter Academy,843,855,,-12,,,,,,,,
  Los Angeles Academy Middle,708,695,,13,,,,,,,,
  Lou Dantzler Preparatory Charter Middle,625,643,,-18,,,,,,,,
  Luther Burbank Middle,786,792,,-6,,,,,,,,
  Magnolia Science Academy 2,756,759,,-3,,,,,,,,
  Magnolia Science Academy 3,748,785,,-37,,,,,,,,
  Magnolia Science Academy 5,759,843,,-84,,,,,,,,
  Magnolia Science Academy 6,828,845,,-17,,,,,,,,
  Magnolia Science Academy Bell,763,714,,49,,,,,,,,
  Marina del Rey Middle,743,730,,13,,,,,,,,
  Mark Twain Middle,715,718,,-3,,,,,,,,
  Mary McLeod Bethune Middle,685,685,,0,,,,,,,,
  Monsenor Oscar Romero Charter Middle,763,754,,9,,,,,,,,
  Mt. Gleason Middle,809,778,,31,,,,,,,,
  New Designs Charter School-Watts,654,674,,-20,,,,,,,,
  New Los Angeles Charter,760,742,,18,,,,,,,,
  Northridge Middle,744,769,,-25,,,,,,,,
  Nueva Esperanza Charter Academy,821,813,,8,,,,,,,,
  Olive Vista Middle,739,733,,6,,,,,,,,
  Oliver Wendell Holmes Middle,856,858,,-2,,,,,,,,
  Orchard Academies 2B,712,657,,55,,,,,,,,
  Orchard Academies 2C,643,637,,6,,,,,,,,
  Orville Wright Middle,737,775,,-38,,,,,,,,
  Pacoima Middle,734,726,,8,,,,,,,,
  Palms Middle,879,881,,-2,,,,,,,,
  Patrick Henry Middle,811,814,,-3,,,,,,,,
  Paul Revere Middle,903,904,,-1,,,,,,,,
  Pio Pico Middle,743,756,,-13,,,,,,,,
  Ralph Waldo Emerson Middle,728,765,,-37,,,,,,,,
  Richard E. Byrd Middle,746,746,,0,,,,,,,,
  Richard Henry Dana Middle,753,733,,20,,,,,,,,
  Robert A. Millikan Middle,875,892,,-17,,,,,,,,
  Robert E. Peary Middle,720,724,,-4,,,,,,,,
  Robert Frost Middle,875,866,,9,,,,,,,,
  Robert Louis Stevenson Middle,696,679,,17,,,,,,,,
  Roy Romer Middle,735,745,,-10,,,,,,,,
  Rudecinda Sepulveda Dodson Middle,855,853,,2,,,,,,,,
  Sal Castro Middle,692,697,,-5,,,,,,,,
  Samuel Gompers Middle,607,570,,37,,,,,,,,
  San Fernando Institute of Applied Media,706,B,,B,,,,,,,,
  San Fernando Middle,698,709,,-11,,,,,,,,
  Santa Rosa Charter Academy,787,761,,26,,,,,,,,
  South Gate Middle,722,724,,-2,,,,,,,,
  Southeast Middle,690,683,,7,,,,,,,,
  Stella Middle Charter Academy,760,811,,-51,,,,,,,,
  Stephen M. White Middle,751,764,,-13,,,,,,,,
  Sun Valley Middle,667,673,,-6,,,,,,,,
  Synergy Kinetic Academy,784,804,,-20,,,,,,,,
  TEACH Academy of Technologies,733,732,,1,,,,,,,,
  Thomas A. Edison Middle,716,703,,13,,,,,,,,
  Thomas Starr King Middle,843,805,,38,,,,,,,,
  Thurgood Marshall Charter Middle,641,683,,-42,,,,,,,,
  Triumph Academy,838,828,,10,,,,,,,,
  Valley Charter Middle,742,776*,,-34,,,,,,,,
  Valor Academy Charter,879,885,,-6,,,,,,,,
  Van Nuys Middle,742,751,,-9,,,,,,,,
  View Park Preparatory Accelerated Charte,784,776,,8,,,,,,,,
  Virgil Middle,745,734,,11,,,,,,,,
  Vista Charter Middle,752,713,,39,,,,,,,,
  Vista Middle,684,699,,-15,,,,,,,,
  Walnut Park Middle A School of Social Ju,649,B,,B,,,,,,,,
"  Walnut Park Middle B Science, Technology",747,B,,B,,,,,,,,
  Walter Reed Middle,851,844,,7,,,,,,,,
  Washington Irving Middle,730,696,,34,,,,,,,,
  Watts Learning Center Charter Middle,621,556,,65,,,,,,,,
  William Jefferson Clinton Middle,673,639,,34,,,,,,,,
  William Mulholland Middle,716,713,,3,,,,,,,,
  Wilmington Middle,778,759,,19,,,,,,,,
  Woodland Hills Academy,789,798,,-9,,,,,,,,
  Young Oak Kim Academy,707,695,,12,,,,,,,,
High Schools,,,,,,,,,,,,
  Abraham Lincoln Senior High,694,686,,8,,,,,,,,
  Academic Leadership Community,658,651,,7,,,,,,,,
  Academies of Education and Empowerment a,697,B,,B,,,,,,,,
  Academy of Environmental & Social Policy,677,651,,26,,,,,,,,
  Academy of Medical & Health Sciences at,633,564,,69,,,,,,,,
  Academy of Medical Arts at Carson High,749,B,,B,,,,,,,,
  Academy of Science and Engineering,644,B,,B,,,,,,,,
  Alain Leroy Locke 3 College Preparatory,531,B,,B,,,,,,,,
  Alexander Hamilton Senior High,742,727,,15,,,,,,,,
  Alliance Cindy and Bill Simon Technology,716,641,,75,,,,,,,,
  Alliance College-Ready Academy High No.,770,748*,,22,,,,,,,,
  Alliance College-Ready Academy High No.,798,765,,33,,,,,,,,
  Alliance Dr. Olga Mohan High,895,883,,12,,,,,,,,
  Alliance Environmental Science and Techn,860,871,,-11,,,,,,,,
  Alliance Gertz-Ressler High,838,838,,0,,,,,,,,
  Alliance Health Services Academy High,717,714,,3,,,,,,,,
  Alliance Huntington Park College-Ready A,815,782,,33,,,,,,,,
  Alliance Judy Ivie Burton Technology Aca,754,738,,16,,,,,,,,
  Alliance Marc & Eva Stern Math and Scien,775,785,,-10,,,,,,,,
  Alliance Media Arts and Entertainment De,694,684,,10,,,,,,,,
  Alliance Renee and Meyer Luskin Academy,721,B,,B,,,,,,,,
  Alliance Susan and Eric Smidt Technology,707,B,,B,,,,,,,,
  Alliance Tennenbaum Family Technology Hi,694,629,,65,,,,,,,,
  Alliance William and Carol Ouchi Academy,772,773,,-1,,,,,,,,
  Alphonso B. Perez Special Education Cent,857,816,,41,,,,,,,,
  Ambassador School of Global Leadership,648,655,,-7,,,,,,,,
  Animo College Preparatory Academy,637,528,,109,,,,,,,,
  Animo Jackie Robinson High,753,775,,-22,,,,,,,,
  Animo Locke 1 College Preparatory Academ,681,675,,6,,,,,,,,
  Animo Locke II College Preparatory Acade,564,541,,23,,,,,,,,
  Animo Locke Technology High,606,611,,-5,,,,,,,,
  Animo Oscar De La Hoya Charter High,738,744,,-6,,,,,,,,
  Animo Pat Brown,799,795,,4,,,,,,,,
  Animo Ralph Bunche High,712,691,,21,,,,,,,,
  Animo South Los Angeles Charter,697,710,,-13,,,,,,,,
  Animo Venice Charter High,765,785,,-20,,,,,,,,
  Animo Watts College Preparatory Academy,634,616,,18,,,,,,,,
  APEX Academy,629,597,,32,,,,,,,,
  Arleta High,718,689,,29,,,,,,,,
  ARTLAB at Sonia Sotomayor Learning Acade,633,650,,-17,,,,,,,,
  Aspire Pacific Academy,741,737,,4,,,,,,,,
  Augustus F. Hawkins High A Critical Desi,520,B,,B,,,,,,,,
  Augustus F. Hawkins High B Community Hea,488,B,,B,,,,,,,,
  Augustus F. Hawkins High C Responsible I,482,B,,B,,,,,,,,
  Bell Senior High,706,690,,16,,,,,,,,
  Belmont Senior High,671,645,,26,,,,,,,,
  Benjamin Banneker Special Education Cent,845,822,,23,,,,,,,,
  Benjamin Franklin Senior High,713,692,,21,,,,,,,,
  Birmingham Community Charter High,734,722,,12,,,,,,,,
  Bright Star Secondary Charter Academy,807,827,,-20,,,,,,,,
  CA Academy for Liberal Studies Early Col,794,787,,7,,,,,,,,
  Camino Nuevo Charter High,792,802,,-10,,,,,,,,
  Canoga Park Senior High,694,696,,-2,,,,,,,,
  Carson Senior High,677,689,,-12,,,,,,,,
  Central City Value,767,738,,29,,,,,,,,
  Cesar E. Chavez Learning Academies-Acade,691,648,,43,,,,,,,,
"  Cesar E. Chavez Learning Academies-Arts,",619,632,,-13,,,,,,,,
  Cesar E. Chavez Learning Academies-Socia,708,727,,-19,,,,,,,,
  Cesar E. Chavez Learning Academies-Teach,618,577,,41,,,,,,,,
  CHAMPS - Charter HS of Arts-Multimedia &,793,798,,-5,,,,,,,,
  Chatsworth Senior High,717,718,,-1,,,,,,,,
  CIVITAS School of Leadership,606,585,,21,,,,,,,,
  Communication and Technology at Diego Ri,563,507,,56,,,,,,,,
  Community Charter Early College High,841,838,,3,,,,,,,,
  Crenshaw Arts-Technology Charter High,664,703,,-39,,,,,,,,
  Crenshaw Senior High,550,566,,-16,,,,,,,,
  Daniel Pearl Journalism & Communications,810,823,,-13,,,,,,,,
  David Starr Jordan Senior High,615,609,,6,,,,,,,,
  Discovery Charter Preparatory No. 2,713,767,,-54,,,,,,,,
  Downtown Business High,827,815,,12,,,,,,,,
  Eagle Rock High,776,773,,3,,,,,,,,
  Early College Academy for Leaders and Sc,724,675,,49,,,,,,,,
  East Los Angeles Performing Arts Academy,641,620,,21,,,,,,,,
  East Los Angeles Renaissance Academy at,653,644,,9,,,,,,,,
  East Valley Senior High,626,620,,6,,,,,,,,
  Edward R. Roybal Learning Center,664,641,,23,,,,,,,,
  El Camino Real Charter High,834,838,,-4,,,,,,,,
  Elizabeth Learning Center,720,724,,-4,,,,,,,,
  Engineering and Technology Academy at Es,642,637,,5,,,,,,,,
  Ernest P. Willenberg Special Education C,776,773,,3,,,,,,,,
  Fairfax Senior High,762,741,,21,,,,,,,,
  Francisco Bravo Medical Magnet High,847,842,,5,,,,,,,,
  Frank Lanterman,862,912*,,-50,,,,,,,,
  Frederick Douglass Academy High,635,645,,-10,,,,,,,,
  Gardena Senior High,641,633,,8,,,,,,,,
  George Washington Preparatory High,590,580,,10,,,,,,,,
  Granada Hills Charter High,885,877,,8,,,,,,,,
  Green Design at Diego Rivera Learning Co,580,558,,22,,,,,,,,
  Grover Cleveland High,808,789,,19,,,,,,,,
  Harbor Teacher Preparation Academy,921,934,,-13,,,,,,,,
  Helen Bernstein High,637,604,,33,,,,,,,,
  High Tech LA,865,853,,12,,,,,,,,
  Hilda L. Solis Learning Academy School o,604,B,,B,,,,,,,,
  Hollywood Senior High,762,753,,9,,,,,,,,
  Humanitas Academy of Art and Technology,577,594,,-17,,,,,,,,
  Humanitas Art School at Roosevelt High,629,563,,66,,,,,,,,
  Huntington Park Senior High,673,651,,22,,,,,,,,
  International Studies Learning Center at,758,731,,27,,,,,,,,
  James A. Garfield Senior High,714,710,,4,,,,,,,,
  James Monroe High,689,692,,-3,,,,,,,,
  John C. Fremont Senior High,623,582,,41,,,,,,,,
  John F. Kennedy High,723,713,,10,,,,,,,,
  John H. Francis Polytechnic,753,746,,7,,,,,,,,
  John Marshall Senior High,758,738,,20,,,,,,,,
  King/Drew Medical Magnet High,798,781,,17,,,,,,,,
  Lakeview Charter High,777,815,,-38,,,,,,,,
  Leadership in Entertainment and Media Ar,530,B,,B,,,,,,,,
  Linda Esperanza Marquez High A Huntingto,662,B,,B,,,,,,,,
  Linda Esperanza Marquez High B LIBRA Aca,752,B,,B,,,,,,,,
  Linda Esperanza Marquez High C School of,682,B,,B,,,,,,,,
  Los Angeles Academy of Arts & Enterprise,701,642,,59,,,,,,,,
  Los Angeles Center for Enriched Studies,897,908,,-11,,,,,,,,
  Los Angeles High School of the Arts (LAH,705,732,,-27,,,,,,,,
  Los Angeles Leadership Academy,699,709,,-10,,,,,,,,
  Los Angeles River at Sonia Sotomayor Lea,659,650,,9,,,,,,,,
  Los Angeles School of Global Studies,650,656,,-6,,,,,,,,
  Los Angeles Senior High,644,647,,-3,,,,,,,,
  Los Angeles Teachers Preparatory Academy,609,603,,6,,,,,,,,
  Lou Dantzler Preparatory Charter High,630,614,,16,,,,,,,,
  Magnolia Science Academy,797,805,,-8,,,,,,,,
  Magnolia Science Academy 4,761,767,,-6,,,,,,,,
  Manual Arts Senior High,627,593,,34,,,,,,,,
"  Math, Science, & Technology Magnet Acade",803,732,,71,,,,,,,,
  Maywood Academy High,705,668,,37,,,,,,,,
  Middle College High,807,801,,6,,,,,,,,
  Miguel Contreras Learning Complex,678,650,,28,,,,,,,,
  Nathaniel Narbonne Senior High,711,692,,19,,,,,,,,
  New Designs Charter,783,751,,32,,,,,,,,
  New Millennium Secondary,647,670,,-23,,,,,,,,
  North Hollywood Senior High,778,770,,8,,,,,,,,
  North Valley Charter Academy,744,750,,-6,,,,,,,,
  Northridge Academy High,764,744,,20,,,,,,,,
  Orthopaedic Hospital,786,780,,6,,,,,,,,
  Palisades Charter High,861,853,,8,,,,,,,,
  Panorama High,681,681,,0,,,,,,,,
  Performing Arts Community at Diego River,596,529,,67,,,,,,,,
  Phineas Banning Senior High,665,684,,-19,,,,,,,,
  Port of Los Angeles High,834,840,,-6,,,,,,,,
  Public Service Community at Diego Rivera,603,585,,18,,,,,,,,
  Ramon C. Cortines School of Visual and P,737,733,,4,,,,,,,,
  Rancho Dominguez Preparatory,673,681,,-8,,,,,,,,
  Renaissance Arts Academy,897,906,,-9,,,,,,,,
  Reseda Senior High,748,752,,-4,,,,,,,,
  Robert Fulton College Preparatory,657,648,,9,,,,,,,,
  San Fernando Senior High,671,676,,-5,,,,,,,,
  San Pedro Senior High,718,715,,3,,,,,,,,
  Santee Education Complex,636,612,,24,,,,,,,,
  School for the Visual Arts and Humanitie,685,690,,-5,,,,,,,,
"  School of Communications, New Media and",601,544,,57,,,,,,,,
  School of Engineering and Technology,652,607,,45,,,,,,,,
  School of History and Dramatic Arts at S,755,720,,35,,,,,,,,
  School of Law & Government at Roosevelt,638,573,,65,,,,,,,,
  School of Math and Science,690,614,,76,,,,,,,,
"  School of Science, Technology, Engineeri",736,670,,66,,,,,,,,
"  Science, Technology, Engineering, and Me",687,B,,B,,,,,,,,
"  Science, Technology, Engineering, Arts a",601,B,,B,,,,,,,,
  Sherman Oaks Center for Enriched Studies,892,895,,-3,,,,,,,,
  Social Justice Leadership Academy at Est,594,578,,16,,,,,,,,
  Social Justice Schools: Fine Arts Academ,578,525,,53,,,,,,,,
  Social Justice Schools: Global Issues Ac,585,523,,62,,,,,,,,
  South East High,689,678,,11,,,,,,,,
  South Gate Senior High,709,693,,16,,,,,,,,
"  South Region High #12A Technology, Arts",546,B,,B,,,,,,,,
  South Region High #12B Academy for Multi,547,B,,B,,,,,,,,
  Student Empowerment Academy,718,704,,14,,,,,,,,
  Sun Valley High,583,589,,-6,,,,,,,,
  Susan Miller Dorsey Senior High,611,625,,-14,,,,,,,,
  Sylmar Senior High,709,677,,32,,,,,,,,
  Synergy Quantum Academy,731,663,,68,,,,,,,,
  Thomas Jefferson Senior High,601,589,,12,,,,,,,,
  Triumph Charter High,,,,,,,,,,,,
  UCLA Community,680,697,,-17,,,,,,,,
  Ulysses S. Grant Senior High,705,706,,-1,,,,,,,,
  University Senior High,747,750,,-3,,,,,,,,
  USC Hybrid High,688,B,,B,,,,,,,,
  Valley Academy of Arts and Sciences,724,686,,38,,,,,,,,
  Van Nuys Senior High,767,762,,5,,,,,,,,
  Venice Senior High,741,718,,23,,,,,,,,
  Verdugo Hills Senior High,747,747,,0,,,,,,,,
  View Park Preparatory Accelerated High,690,701,,-11,,,,,,,,
  Visual and Performing Arts at Legacy Hig,575,B,,B,,,,,,,,
  Wallis Annenberg High,737,742,,-5,,,,,,,,
  WESM Health/Sports Medicine,704,702,,2,,,,,,,,
  West Adams Preparatory High,647,632,,15,,,,,,,,
  William Howard Taft Senior High,786,791,,-5,,,,,,,,
  Woodrow Wilson Senior High,653,648,,5,,,,,,,,
Small Schools,,,,,,,,,,,,
  Amanecer Primary Center,782*,846*,,-64,,,,,,,,
  Anahuacalmecac International University,689*,683*,,6,,,,,,,,
  Ann Street Elementary,814*,780,,34,,,,,,,,
  Berenece Carlson Home Hospital,595*,557,,38,,,,,,,,
  Celerity Cardinal Charter,893*,863*,,30,,,,,,,,
  Charles Leroy Lowman Special Education C,729*,690,,39,,,,,,,,
  CHIME Charter Middle,815*,795,,20,,,,,,,,
  Citizens of the World 2,809*,B,,B,,,,,,,,
  Diane S. Leichman Special Education Cent,919*,867*,,52,,,,,,,,
  Dorothy V. Johnson Community Day,562*,458*,,104,,,,,,,,
  Dr. James Edward Jones Primary Center,765*,770*,,-5,,,,,,,,
  Frances Blend Special Education Center,870*,809*,,61,,,,,,,,
  Garza (Carmen Lomas) Primary Center,889*,828*,,61,,,,,,,,
  Hollywood Primary Center,730*,778*,,-48,,,,,,,,
  Jack London Community Day,459*,396*,,63,,,,,,,,
  James J. McBride Special Education Cente,719*,802*,,-83,,,,,,,,
  Joaquin Miller Career and Transition Cen,874*,809*,,65,,,,,,,,
  Joseph Pomeroy Widney High,804*,718*,,86,,,,,,,,
  KIPP Comienza Community Prep,978*,B,,B,,,,,,,,
  KIPP Philosophers Academy,714*,B,,B,,,,,,,,
  KIPP Scholar Academy,777*,B,,B,,,,,,,,
  Lexington Avenue Primary Center,801*,787*,,14,,,,,,,,
  Los Angeles Big Picture High,674*,675*,,-1,,,,,,,,
  Los Angeles Leadership Primary Academy,761*,B,,B,,,,,,,,
  Mariposa-Nabi Primary Center,789*,810*,,-21,,,,,,,,
  Para Los Ninos Middle,803*,795*,,8,,,,,,,,
  Primary Academy for Success,827*,778*,,49,,,,,,,,
  Rise Kohyang Middle,866*,B,,B,,,,,,,,
  Sven Lokrantz Special Education Center,784*,749*,,35,,,,,,,,
ASAM Schools,,,,,,,,,,,,
  Aggeler Community Day,,,,,,,,,,,,
  Albert Einstein Continuation,553*,554*,,-1,,,,,,,,
  Amelia Earhart Continuation,513*,524*,,-11,,,,,,,,
  Angel's Gate (Continuation),570*,682*,,-112,,,,,,,,
  Avalon High,634*,641*,,-7,,,,,,,,
  Boyle Heights Continuation,527*,415*,,112,,,,,,,,
  Cal Burke High,591*,623*,,-32,,,,,,,,
  CDS Elementary,,,,,,,,,,,,
  CDS Secondary,406*,383*,,23,,,,,,,,
  Central High,400,427,,-27,,,,,,,,
  Cheviot Hills Continuation,538*,584*,,-46,,,,,,,,
  City of Angels,618,630,,-12,,,,,,,,
  Eagle Tree Continuation,479*,531*,,-52,,,,,,,,
  Ellington (Duke) High (Continuation),469*,498*,,-29,,,,,,,,
  Evergreen Continuation,443*,378*,,65,,,,,,,,
  Frida Kahlo High,643*,617*,,26,,,,,,,,
  George S. Patton Continuation,588*,B,,B,,,,,,,,
  Harold McAlister High (Opportunity),495*,554*,,-59,,,,,,,,
  Harris Newmark Continuation,486*,477*,,9,,,,,,,,
  Henry David Thoreau Continuation,650*,616*,,34,,,,,,,,
  Highland Park Continuation,594*,573*,,21,,,,,,,,
  Independence Continuation,436*,566*,,-130,,,,,,,,
  Jack London Continuation,509*,528*,,-19,,,,,,,,
  Jane Addams Continuation,593*,550*,,43,,,,,,,,
  John Hope Continuation,562*,517*,,45,,,,,,,,
  John R. Wooden High,533*,533*,,0,,,,,,,,
  Los Angeles Unified Alternative Educatio,,,,,,,,,,,,
  Metropolitan Continuation,659*,712*,,-53,,,,,,,,
  Miguel Leonis Continuation,,,,,,,,,,,,
  Mission Continuation,546*,462*,,84,,,,,,,,
  Moneta Continuation,650*,682*,,-32,,,,,,,,
  Monterey Continuation,577*,650*,,-73,,,,,,,,
  Mt. Lukens Continuation,661*,622*,,39,,,,,,,,
