Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  Charles White Elementary,769,835,,-66,,,,,,,,
  Charnock Road Elementary,808,796,,12,,,,,,,,
  Chase Street Elementary,742,780,,-38,,,,,,,,
  Chatsworth Park Elementary,826,858,,-32,,,,,,,,
  Cheremoya Avenue Elementary,846,844,,2,,,,,,,,
  CHIME Institute's Schwarzenegger Communi,833,852,,-19,,,,,,,,
  Christopher Dena Elementary,734,726,,8,,,,,,,,
  Cienega Elementary,794,768,,26,,,,,,,,
  Cimarron Avenue Elementary,804,770,,34,,,,,,,,
  Citizens of the World Charter,912,928*,,-16,,,,,,,,
  City Charter Middle,863,B,,B,,,,,,,,
  City Terrace Elementary,826,800,,26,,,,,,,,
  CLAS Affirmation,745,730,,15,,,,,,,,
  Clifford Street Elementary,861,844,,17,,,,,,,,
  Clover Avenue Elementary,953,957,,-4,,,,,,,,
  Coeur D'Alene Avenue Elementary,912,926,,-14,,,,,,,,
  Cohasset Street Elementary,773,792,,-19,,,,,,,,
  Coldwater Canyon Elementary,825,846,,-21,,,,,,,,
  Colfax Charter Elementary,933,928,,5,,,,,,,,
  Coliseum Street Elementary,655,704,,-49,,,,,,,,
  Columbus Avenue,767,776,,-9,,,,,,,,
  Commonwealth Avenue Elementary,858,848,,10,,,,,,,,
  Community Magnet Charter Elementary,962,962,,0,,,,,,,,
  Compton Avenue Elementary,714,753,,-39,,,,,,,,
  Corona Avenue Elementary,749,754,,-5,,,,,,,,
  Cowan Avenue Elementary,829,840,,-11,,,,,,,,
  Crescent Heights Boulevard Elementary,833,822,,11,,,,,,,,
  Crestwood Street Elementary,840,840,,0,,,,,,,,
  Dahlia Heights Elementary,849,859,,-10,,,,,,,,
"  Danny J. Bakewell, Sr., Primary Center",,,,,,,,,,,,
  Danube Avenue Elementary,847,860,,-13,,,,,,,,
  Darby Avenue Elementary,880,901,,-21,,,,,,,,
  Dayton Heights Elementary,790,824,,-34,,,,,,,,
  Dearborn Elementary Charter Academy,856,842,,14,,,,,,,,
  Del Amo Elementary,818,807,,11,,,,,,,,
  Delevan Drive Elementary,916,900,,16,,,,,,,,
  Denker Avenue Elementary,840,839,,1,,,,,,,,
  Dixie Canyon Community Charter,906,892,,14,,,,,,,,
  Dolores Huerta Elementary,727,721,,6,,,,,,,,
  Dolores Street Elementary,825,832,,-7,,,,,,,,
  Dominguez Elementary,798,789,,9,,,,,,,,
  Dorris Place Elementary,872,884,,-12,,,,,,,,
  Downtown Value,837,815,,22,,,,,,,,
"  Dr. Lawrence H. Moore Math, Science, Tec",673,B,,B,,,,,,,,
  Dr. Owen Lloyd Knox Elementary,718,720,,-2,,,,,,,,
"  Dr. Theo. T. Alexander Jr., Science Cent",766,776,,-10,,,,,,,,
  Dyer Street Elementary,817,818,,-1,,,,,,,,
  Eagle Rock Elementary,887,875,,12,,,,,,,,
  Eastman Avenue Elementary,743,742,,1,,,,,,,,
  El Dorado Avenue Elementary,724,778,,-54,,,,,,,,
  El Oro Way Charter For Enriched Studies,900,900,,0,,,,,,,,
  El Sereno Elementary,832,810,,22,,,,,,,,
  Ellen Ochoa Learning Center,720,714,,6,,,,,,,,
  Elysian Heights Elementary,820,824,,-4,,,,,,,,
  Emelita Street Elementary,825,827,,-2,,,,,,,,
  Enadia Technology Enriched Charter,855,861,,-6,,,,,,,,
  Encino Charter Elementary,942,950,,-8,,,,,,,,
  Equitas Academy Charter,894,868,,26,,,,,,,,
  Erwin Elementary,798,797,,1,,,,,,,,
  Eshelman Avenue Elementary,824,842,,-18,,,,,,,,
  Esperanza Elementary,675,699,,-24,,,,,,,,
  Estrella Elementary,733,725,,8,,,,,,,,
  Euclid Avenue Elementary,697,728,,-31,,,,,,,,
  Evergreen Avenue Elementary,749,758,,-9,,,,,,,,
  Extera Public,802,745*,,57,,,,,,,,
  Fair Avenue Elementary,825,812,,13,,,,,,,,
  Fairburn Avenue Elementary,941,976,,-35,,,,,,,,
  Farmdale Elementary,701,724,,-23,,,,,,,,
  Fenton Avenue Charter,808,815,,-7,,,,,,,,
  Fenton Primary Center,832,B,,B,,,,,,,,
  Fernangeles Elementary,730,775,,-45,,,,,,,,
  Fifteenth Street Elementary,817,822,,-5,,,,,,,,
  Fifty-Fourth Street Elementary,729,764,,-35,,,,,,,,
  Fifty-Ninth Street Elementary,709,699,,10,,,,,,,,
  Fifty-Second Street Elementary,698,671,,27,,,,,,,,
  Figueroa Street Elementary,743,755,,-12,,,,,,,,
  First Street Elementary,745,755,,-10,,,,,,,,
  Fishburn Avenue Elementary,782,823,,-41,,,,,,,,
  Fletcher Drive Elementary,747,741,,6,,,,,,,,
  Florence Avenue Elementary,823,800,,23,,,,,,,,
  Florence Griffith Joyner Elementary,618,639,,-21,,,,,,,,
  Ford Boulevard Elementary,778,791,,-13,,,,,,,,
  Forty-Ninth Street Elementary,676,709,,-33,,,,,,,,
  Forty-Second Street Elementary,640,629,,11,,,,,,,,
  Fourth Street Elementary,782,811,,-29,,,,,,,,
  Frank del Olmo Elementary,819,848,,-29,,,,,,,,
  Franklin Avenue Elementary,916,914,,2,,,,,,,,
  Frederick Douglass Academy Elementary,741,730,,11,,,,,,,,
  Fries Avenue Elementary,771,775,,-4,,,,,,,,
  Fullbright Avenue Elementary,831,831,,0,,,,,,,,
  Futuro College Preparatory Elementary,863,908*,,-45,,,,,,,,
  Gabriella Charter,892,892,,0,,,,,,,,
  Garden Grove Elementary,800,798,,2,,,,,,,,
  Gardena Elementary,801,791,,10,,,,,,,,
  Gardner Street Elementary,864,871,,-7,,,,,,,,
  Garr Academy of Math and Entrepreneurial,801,779,,22,,,,,,,,
  Garvanza Elementary,803,835,,-32,,,,,,,,
  Gates Street Elementary,797,792,,5,,,,,,,,
  Gault Street Elementary,763,780,,-17,,,,,,,,
  George De La Torre Jr. Elementary,775,774,,1,,,,,,,,
  Germain Academy For Academic Achievement,866,895,,-29,,,,,,,,
  Glassell Park Elementary,742,749,,-7,,,,,,,,
  Gledhill Street Elementary,829,839,,-10,,,,,,,,
  Glen Alta Elementary,752,739,,13,,,,,,,,
  Glenfeliz Boulevard Elementary,814,834,,-20,,,,,,,,
  Glenwood Elementary,762,774,,-12,,,,,,,,
  Global Education Academy,849,844,,5,,,,,,,,
  Goethe International Charter,921,891,,30,,,,,,,,
  Graham Elementary,701,742,,-41,,,,,,,,
  Granada Elementary,837,829,,8,,,,,,,,
  Grand View Boulevard Elementary,805,775,,30,,,,,,,,
  Grant Elementary,789,783,,6,,,,,,,,
  Grape Street Elementary,709,736,,-27,,,,,,,,
  Gratts Learning Academy for Young Schola,746,751,,-5,,,,,,,,
  Gridley Street Elementary,770,767,,3,,,,,,,,
  Griffin Avenue Elementary,746,753,,-7,,,,,,,,
  Gulf Avenue Elementary,834,828,,6,,,,,,,,
  Haddon Avenue Elementary,779,789,,-10,,,,,,,,
  Halldale Elementary,835,830,,5,,,,,,,,
  Hamlin Charter Academy,865,874,,-9,,,,,,,,
  Hancock Park Elementary,920,913,,7,,,,,,,,
  Harbor City Elementary,819,817,,2,,,,,,,,
  Harding Street Elementary,821,857,,-36,,,,,,,,
  Harmony Elementary,725,723,,2,,,,,,,,
  Harrison Street Elementary,697,705,,-8,,,,,,,,
  Harry Bridges Span,825,B,,B,,,,,,,,
  Hart Street Elementary,703,705,,-2,,,,,,,,
  Harvard Elementary,830,846,,-16,,,,,,,,
  Haskell Elementary,837,834,,3,,,,,,,,
  Hawaiian Avenue Elementary,811,838,,-27,,,,,,,,
  Haynes Charter For Enriched Studies,909,906,,3,,,,,,,,
  Hazeltine Avenue Elementary,759,785,,-26,,,,,,,,
  Heliotrope Avenue Elementary,783,794,,-11,,,,,,,,
  Herrick Avenue Elementary,820,814,,6,,,,,,,,
  Hesby Oaks Leadership Charter,911,911,,0,,,,,,,,
  Hillcrest Drive Elementary,707,692,,15,,,,,,,,
  Hillery T. Broadous Elementary,753,738,,15,,,,,,,,
  Hillside Elementary,722,771,,-49,,,,,,,,
  Hobart Boulevard Elementary,809,821,,-12,,,,,,,,
  Holmes Avenue Elementary,693,709,,-16,,,,,,,,
  Hooper Avenue Elementary,675,696,,-21,,,,,,,,
  Hooper Avenue Primary Center,,,,,,,,,,,,
  Hoover Street Elementary,812,787,,25,,,,,,,,
  Hope Street Elementary,776,771,,5,,,,,,,,
  Hubbard Street Elementary,782,814,,-32,,,,,,,,
  Humphreys Avenue Elementary,752,762,,-10,,,,,,,,
  Huntington Drive Elementary,731,736,,-5,,,,,,,,
  Huntington Park Elementary,785,798,,-13,,,,,,,,
  ICEF Vista Elementary Academy,836,814,,22,,,,,,,,
